,Recency,Frequency,Monetary
0,0.6712578633905183,-0.3696178285088919,-0.85167887632808
1,-0.966281225656121,-0.3696178285088919,0.3289731056797714
2,-0.24859434095049512,-0.8091666242446708,-0.5554052536787547
3,-0.5619505863853459,-0.3696178285088919,0.7892537279119717
4,-0.8854150978019659,-0.8091666242446708,-0.6062607616131879
5,-0.8854150978019659,-0.3696178285088919,-0.5562362481692246
6,-0.5518423204035765,-0.8091666242446708,-0.6402750822923925
7,1.0553719706977547,-0.8091666242446708,-0.2916676245534864
11,-0.38000179871349704,1.3885773544342235,2.2994642749319896
12,-0.7135745761118866,0.06993096722688691,0.7030854704069747
13,-0.005995957388030038,0.06993096722688691,-0.6662112934863412
14,1.7225175254945337,-0.8091666242446708,2.8561643448555176
15,1.6719761955856869,-0.8091666242446708,0.3619373925598769
16,-0.5013009904947295,0.06993096722688691,1.4827570185414987
17,1.6315431316586093,0.06993096722688691,-0.5651679335169738
18,-0.5417340544218071,0.06993096722688691,0.35873234315732205
19,1.6315431316586093,-0.3696178285088919,-0.4054792449774191
20,-0.42043486264057456,-0.3696178285088919,2.5750495972456595
21,-0.7438993740571946,-0.3696178285088919,0.15573559392603442
22,-0.8247655019113497,-0.3696178285088919,1.5743869572266127
23,1.0048306407889078,-0.8091666242446708,0.12493234434859105
24,-0.41032659665880516,-0.3696178285088919,-0.32415544448389316
26,-0.8449820338748885,-0.8091666242446708,0.3832692619982061
27,-0.9763894916378903,-0.8091666242446708,-0.2494457278560905
28,-0.4810844585311908,-0.8091666242446708,-0.7326148287714495
29,-0.17783647907810948,-0.3696178285088919,0.37681776401105305
30,-0.6124919162941928,0.06993096722688691,1.1590982133267078
31,0.014220574575508719,0.9490285586984446,0.8820277894462835
32,1.29797035426022,-0.8091666242446708,-0.5745158688223587
33,-0.8146572359295803,-0.3696178285088919,-0.007038462744349889
34,-0.9258481617290435,0.5094797629626657,2.447125372019354
35,2.1369564307470785,-0.8091666242446708,-0.2359127116023248
36,-0.7843324379842722,0.06993096722688691,0.6484972616770345
37,-0.4911927245129602,-0.8091666242446708,-0.7305832580017229
38,-0.7135745761118866,0.9490285586984446,-0.20282272175128768
39,0.5903917355363633,-0.8091666242446708,1.8726251592419947
41,-0.7843324379842722,0.06993096722688691,1.1670310493186113
43,0.3983346818827451,-0.8091666242446708,-0.697737146968541
44,-0.5417340544218071,-0.8091666242446708,-0.7082013547642946
45,-0.6124919162941928,0.06993096722688691,1.168689274737547
46,-0.6124919162941928,-0.8091666242446708,-0.8237088362272024
47,0.00411230859373934,-0.8091666242446708,-0.688183721177741
49,1.9550076430752295,-0.8091666242446708,-0.6814635048635067
50,-0.5316257884400377,3.5863213331131174,0.7495458906332074
51,-0.5013009904947295,0.06993096722688691,0.14411446717027002
52,-0.7843324379842722,-0.3696178285088919,-0.6262241999068847
53,-0.4810844585311908,-0.3696178285088919,-0.7121019104251775
55,-0.7641159060207334,-0.3696178285088919,-0.31300777382822426
56,-0.41032659665880516,-0.3696178285088919,2.2376251876452598
57,-0.14751168113280133,-0.8091666242446708,0.0053180640269844745
58,2.015657238965846,-0.8091666242446708,-0.5120053620741257
59,-0.9258481617290435,-0.8091666242446708,-0.7054690087494344
63,-0.8247655019113497,-0.8091666242446708,-0.7089367547798644
66,2.2178225586012332,-0.3696178285088919,-0.2343523387954915
67,-0.005995957388030038,-0.3696178285088919,-0.24630089544559866
68,-0.9763894916378903,-0.8091666242446708,-0.7463601099222372
69,2.723235857689702,-0.8091666242446708,-0.6151533059160962
70,-0.43054312862234395,-0.8091666242446708,-0.7147604906247603
71,-0.24859434095049512,-0.8091666242446708,3.894389591811083
72,-0.6428167142395009,0.06993096722688691,-0.4465284157543875
75,-0.17783647907810948,0.5094797629626657,3.3909055359108593
76,-0.2789191388958033,-0.8091666242446708,-0.31798169737263077
77,-0.35978526674995825,-0.3696178285088919,-0.2405840447616145
78,1.4394860780049912,-0.8091666242446708,-0.4642562982177442
79,-0.06664555327864631,-0.8091666242446708,-0.6690339649892959
80,-0.40021833067703577,-0.8091666242446708,-0.7368495887382822
81,0.6409330654452102,0.06993096722688691,3.4648331843542435
83,2.288580420473619,-0.8091666242446708,-0.7856968599874131
