CustomerID,LastInvoiceDate,Frequency,Monetary,Recency,Cluster
12346.0,2010-06-28 13:53:00,11,372.86,165,3
12347.0,2010-12-07 14:57:00,2,1323.32,3,0
12348.0,2010-09-27 14:59:00,1,222.16,74,1
12349.0,2010-10-28 08:23:00,3,2671.14,43,0
12351.0,2010-11-29 15:23:00,1,300.93,11,1
12352.0,2010-11-29 10:07:00,2,343.8,11,1
12353.0,2010-10-27 12:44:00,1,317.76,44,1
12355.0,2010-05-21 11:59:00,1,488.21,203,2
12356.0,2010-11-24 12:24:00,3,3562.25,16,3
12358.0,2010-11-29 10:56:00,3,2719.01,11,0
12359.0,2010-10-10 11:16:00,6,2563.36,61,3
12360.0,2010-11-25 11:04:00,5,1590.83,15,0
12361.0,2010-09-03 15:19:00,3,321.35,98,1
12362.0,2009-12-01 10:10:00,1,130.0,374,2
12366.0,2010-03-16 10:28:00,1,500.24,269,2
12368.0,2010-03-21 15:56:00,1,917.7,264,2
12369.0,2010-10-22 13:13:00,3,1791.15,49,0
12370.0,2010-03-25 12:10:00,3,774.62,260,2
12371.0,2010-10-26 13:37:00,3,2179.42,45,0
12373.0,2010-03-25 13:49:00,2,763.0500000000001,260,2
12374.0,2010-10-14 13:31:00,3,2246.29,57,0
12376.0,2010-11-15 12:15:00,2,503.15,25,1
12377.0,2010-11-23 19:24:00,2,1798.2,17,0
12378.0,2010-05-26 14:07:00,1,1407.7,198,2
12379.0,2010-10-13 14:46:00,2,767.98,58,1
12385.0,2010-11-25 15:14:00,1,1938.4,15,0
12386.0,2010-12-08 09:53:00,1,258.9,2,1
12387.0,2010-10-20 16:27:00,1,143.94,51,1
12388.0,2010-09-20 12:41:00,2,1120.45,81,1
12389.0,2010-11-02 11:52:00,3,1433.33,38,0
12391.0,2010-09-01 12:38:00,5,2312.53,100,3
12392.0,2010-04-27 14:04:00,1,234.75000000000003,227,2
12393.0,2010-11-22 16:10:00,2,816.85,18,1
12395.0,2010-12-03 16:35:00,4,2048.64,7,0
12396.0,2010-02-03 13:22:00,1,931.43,310,2
12399.0,2010-11-19 08:53:00,3,853.65,21,0
12400.0,2010-10-21 13:45:00,1,205.25,50,1
12402.0,2010-11-12 09:50:00,5,1031.3,28,0
12403.0,2010-07-06 11:39:00,1,591.6600000000001,157,2
12404.0,2010-01-26 16:25:00,1,63.24,318,2
12406.0,2010-11-05 11:42:00,3,2975.06,35,3
12408.0,2010-11-19 13:21:00,3,1452.22,21,0
12410.0,2010-07-25 13:26:00,1,320.38,138,1
12411.0,2010-10-26 09:25:00,1,346.9,45,1
12412.0,2010-11-02 17:02:00,3,1370.05,38,0
12413.0,2010-11-02 13:26:00,1,241.35,38,1
12414.0,2010-09-02 13:47:00,3,390.0,99,1
12416.0,2010-02-21 10:19:00,1,202.56,292,2
12417.0,2010-10-25 14:27:00,11,3167.81,46,3
12418.0,2010-10-22 10:29:00,3,1352.62,49,0
12419.0,2010-11-19 10:04:00,2,503.01,21,1
12421.0,2010-10-20 14:28:00,2,291.56,51,1
12423.0,2010-11-17 11:33:00,2,763.08,23,1
12424.0,2010-10-13 10:29:00,2,1579.07,58,0
12425.0,2010-09-17 14:10:00,1,964.21,84,1
12426.0,2010-02-15 08:41:00,1,762.48,298,2
12427.0,2010-12-03 10:44:00,1,303.5,7,1
12429.0,2010-12-09 12:05:00,5,3735.51,1,3
12434.0,2010-11-23 13:38:00,1,297.29,17,1
12439.0,2010-01-26 12:11:00,2,1158.18,318,2
12440.0,2010-09-03 13:11:00,2,859.2,98,1
12441.0,2010-12-08 10:45:00,1,173.55,2,1
12443.0,2009-12-07 15:42:00,1,485.31,368,2
12445.0,2010-10-15 12:28:00,1,301.58000000000004,56,1
12449.0,2010-10-25 12:21:00,2,768.6,46,1
12450.0,2010-11-05 16:27:00,3,490.32,35,1
12451.0,2010-09-02 15:38:00,3,3634.36,99,3
12455.0,2010-09-20 14:39:00,4,3413.09,81,3
12457.0,2010-09-30 17:59:00,1,632.68,71,1
12458.0,2010-10-08 11:36:00,2,830.09,63,1
12459.0,2010-04-13 14:53:00,1,454.36,241,2
12460.0,2010-09-09 13:51:00,1,326.65,92,1
12466.0,2010-01-26 16:26:00,1,56.73,318,2
12467.0,2010-10-12 15:41:00,1,132.8,59,1
12468.0,2010-07-01 10:28:00,3,2941.2,162,0
12469.0,2010-07-05 12:40:00,2,3070.54,158,0
12470.0,2010-01-19 11:01:00,1,211.95,325,2
12475.0,2010-10-26 08:49:00,1,426.26,45,1
12480.0,2010-11-05 15:08:00,3,2183.2200000000003,35,0
12483.0,2010-11-26 12:35:00,11,2635.6,14,3
12484.0,2010-08-13 13:45:00,6,1828.43,119,3
