rating,date,variation,verified_reviews,feedback,processed_reviews
5,30-Jul-18,White  Dot,"""We really love our Echo Dot, we can get questions answered right away and play any music we can think of.""",1,really love echo dot get question answered right away play music think
5,30-Jul-18,White  Dot,"""Este producto llegó y a la semana se quedó sin olor, perdió toda su escencia, huele solo a alcohol""",1,este producto lleg la semana se qued sin olor perdi toda su escencia huele solo alcohol
1,5-Jul-18,Black  Plus,Didn’t really work as smooth as they make it seem like.,0,not_really work smooth make seem like
5,30-Jul-18,Black  Dot,Usual reliable Alexa,1,usual reliable alexa
3,22-Jul-18,Black  Spot,"""Would be 5 stars if you could turn off the &#34;Things to Try&#34; screen!!!  I should have read up on this before buying the Spot.  Amazon, please update to enable us to turn this off!  It is SO extremely annoying to look over to see the time but instead see &#34;Things to try&#34;.""",2,would star could turn thing try screen read buying spot amazon please update enable u turn extremely annoying look see time instead see thing try
4,30-Jul-18,Black  Dot,Primarily for music in our bedroom.  I wish the speaker had better fidelity.,1,primarily music bedroom wish speaker better fidelity
4,30-Jul-18,Charcoal Fabric ,Works great sounds great does not miss a beat wish it had a battery for better portability,1,work great sound great not_miss beat wish battery better portability
5,30-Jul-18,Charcoal Fabric ,"""LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!""",1,love love new little gadget made life much easier like personal secretary living home hardly need cd anymore since alexa play everything need going get alexa dot soon room thanks
2,30-Jul-18,Black  Dot,Sound is terrible. Cannot pair with echo to play simultaneously.  Must upgrade to amazon music if you want to play more than one device at a time.,0,sound terrible not_pair echo play simultaneously must upgrade amazon music want play one device time
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,needna na nana
5,29-Jul-18,Black  Show,Works great and has been fun to use.,1,work great fun use
5,30-Jul-18,Black  Dot,"""Purchased this for a discount on Prime Day to insert into a portable Bluetooth speaker made specifically to work with Echo Dot. Works great, love it! Now I can bring Alexa out onto the patio with me, and I mostly use it for music. This is our 3rd Echo product and we love them!""",1,purchased discount prime day insert portable bluetooth speaker made specifically work echo dot work great love bring alexa onto patio mostly use music rd echo product love
5,28-Jul-18,Charcoal Fabric ,"""I’m still learning how to use the Echo, but so far I love it!""",1,still learning use echo far love
5,30-Jul-18,Black  Dot, ,1,no_review
5,30-Jul-18,Configuration: Fire TV Stick,Love it and how easy it is to use. One of the best Prime Day purchases we have made.,1,love easy use one best prime day purchase made
5,7-Jul-18,Black,Have had an larger echo for some time and love it. Bought this one for another portion of the house since we have several wifi home devices and we wanted to voice control them from all over the house.,1,larger echo time love bought one another portion house since several wifi home device wanted voice control house
5,30-Jul-18,Black  Dot,Love it!,1,love
4,29-Jul-18,Black  Spot,"""Works decent, wish it was able to answer more questions....need a better source for info but the rest works great!""",1,work decent wish able answer questionsneed better source info rest work great
4,30-Jul-18,Black  Dot,"""The Echo Dot (2nd Generation) Smart Speaker is very compound in size, however it  projects very good sound. It also has a port in which you can connect an external speaker  for greater projection of sound. I also like it size because it's not awkward, and it doesn't take up a lot of space. It works great with the Alexa App. I also think the size is great for college students who live in dorm rooms with small limited spacing.""",1,echo dot nd generation smart speaker compound size however project good sound also port connect external speaker greater projection sound also like size not_awkward not_take lot space work great alexa app also think size great college student live dorm room small limited spacing
5,30-Jul-18,Black  Dot,"""It talks to me, plays the type of music i want to listen to, and even turns off when I ask if to.""",1,talk play type music want listen even turn ask
1,24-Jul-18,White  Spot,"""Great product EXCEPT there is no possible way for it to act as a clock the displays the time PERMANENTLY.  When in 'Clock' mode, the screen rotates between the clock face and a 'Things to Try' screen.  I intended on buying several units for my house, but I do not need a screen in the house that is permanently trying to upset me.  Acting as clock should be a BASIC feature of the Echo Spot.  How could you get this wrong, Amazon??  #FAIL""",0,great product except no_possible way act clock display time permanently clock mode screen rotates clock face thing try screen intended buying several unit house not_need screen house permanently trying upset acting clock basic feature echo spot could get wrong amazon fail
