order_date,Paper
2015-01-03,16.448
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,25.98
2015-01-07,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,37.408
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-18,0.0
2015-01-19,56.064
2015-01-20,19.36
2015-01-23,40.08
2015-01-26,36.120000000000005
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,10.56
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,34.24
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-14,16.176
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,12.96
2015-02-21,0.0
2015-02-22,19.44
2015-02-23,0.0
2015-02-24,55.672
2015-02-27,0.0
2015-03-01,17.472
2015-03-02,36.4
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,97.82
2015-03-07,0.0
2015-03-10,22.38
2015-03-11,123.86
2015-03-14,110.064
2015-03-15,131.904
2015-03-16,0.0
2015-03-18,21.376
2015-03-19,0.0
2015-03-21,122.97
2015-03-22,74.352
2015-03-23,0.0
2015-03-24,24.9
2015-03-25,0.0
2015-03-26,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,76.048
2015-04-04,32.400000000000006
2015-04-05,68.44
2015-04-06,74.92
2015-04-07,181.29
2015-04-08,19.008
2015-04-11,10.368
2015-04-12,32.4
2015-04-13,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,71.28
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,48.91
2015-04-25,10.368
2015-04-26,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,69.41999999999999
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,45.36
2015-05-10,39.96
2015-05-11,17.472
2015-05-12,0.0
2015-05-13,8.0
2015-05-14,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,15.936
2015-05-19,0.0
2015-05-20,10.368
2015-05-21,22.772000000000002
2015-05-22,0.0
2015-05-23,12.96
2015-05-24,116.28
2015-05-25,14.62
2015-05-26,48.4
2015-05-27,0.0
2015-05-28,0.0
2015-05-30,53.58
2015-05-31,0.0
2015-06-01,73.80000000000001
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,16.224
2015-06-06,62.016
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,79.14
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,36.544
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-20,27.2
2015-06-21,19.65
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-27,0.0
2015-06-29,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-04,199.376
2015-07-05,19.44
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,57.12
2015-07-11,236.688
2015-07-12,51.888000000000005
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,159.56
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-25,6.48
2015-07-26,0.0
2015-07-27,65.78
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,78.304
2015-08-02,0.0
2015-08-03,132.984
2015-08-05,131.9
2015-08-06,0.0
2015-08-08,0.0
2015-08-09,21.532
2015-08-11,0.0
2015-08-12,31.104
2015-08-15,91.36
2015-08-16,0.0
2015-08-17,129.752
2015-08-19,0.0
2015-08-20,20.12
2015-08-22,11.56
2015-08-24,0.0
2015-08-25,49.896
2015-08-26,20.72
2015-08-27,13.36
2015-08-29,123.28
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,31.104
2015-09-02,14.94
2015-09-03,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,33.519999999999996
2015-09-08,200.016
2015-09-09,219.088
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,10.368
2015-09-13,64.49199999999999
2015-09-14,51.668
2015-09-15,14.94
2015-09-16,0.0
2015-09-17,193.568
2015-09-19,0.0
2015-09-20,30.28
2015-09-21,75.70200000000001
2015-09-22,0.0
2015-09-23,61.2
2015-09-24,0.0
2015-09-25,33.792
2015-09-26,52.336
2015-09-27,81.98
2015-09-28,106.944
2015-09-29,104.928
2015-09-30,64.49199999999999
2015-10-01,0.0
2015-10-02,9.408
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,123.92
2015-10-09,88.768
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-15,7.968
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,72.008
2015-10-19,160.17
2015-10-20,3.808
2015-10-21,0.0
2015-10-22,0.0
2015-10-24,10.368
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,22.32
2015-10-28,0.0
2015-10-29,75.88
2015-10-31,74.89999999999999
2015-11-01,205.036
2015-11-02,0.0
2015-11-03,147.344
2015-11-04,19.44
2015-11-05,0.0
2015-11-07,30.18
2015-11-08,0.0
2015-11-09,157.5
2015-11-10,90.92
2015-11-12,48.248
2015-11-14,64.496
2015-11-15,24.896
2015-11-16,31.68
2015-11-18,57.788
2015-11-19,172.32
2015-11-20,25.92
2015-11-22,63.78
2015-11-23,0.0
2015-11-24,186.00000000000003
2015-11-25,42.456
2015-11-26,112.472
2015-11-27,0.0
2015-11-28,85.96
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,36.288
2015-12-02,162.06
2015-12-03,25.92
2015-12-04,0.0
2015-12-05,164.96800000000002
2015-12-06,42.208
2015-12-07,270.4
2015-12-08,56.048
2015-12-09,53.816
2015-12-10,128.64
2015-12-12,0.0
2015-12-13,90.24
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,150.488
2015-12-17,0.0
2015-12-19,15.552
2015-12-20,256.288
2015-12-21,0.0
2015-12-22,124.032
2015-12-23,50.711999999999996
2015-12-24,9.568
2015-12-26,18.264
2015-12-27,36.760000000000005
2015-12-28,141.76
2015-12-29,21.12
2015-12-30,0.0
2015-12-31,210.57999999999998
2016-01-02,20.04
2016-01-03,10.368
2016-01-04,39.9
2016-01-05,0.0
2016-01-06,29.6
2016-01-09,157.87
2016-01-10,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-17,0.0
2016-01-19,0.0
2016-01-23,29.04
2016-01-24,0.0
2016-01-26,182.72
2016-01-27,0.0
2016-01-28,0.0
2016-01-30,14.304
2016-01-31,12.96
2016-02-03,0.0
2016-02-06,29.9
2016-02-07,12.96
2016-02-08,9.54
2016-02-09,0.0
2016-02-10,0.0
2016-02-14,0.0
2016-02-15,32.8
2016-02-16,72.72
2016-02-18,0.0
2016-02-20,0.0
2016-02-21,49.12
2016-02-22,0.0
2016-02-23,0.0
2016-02-25,22.72
2016-02-27,0.0
2016-02-28,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,19.44
2016-03-09,0.0
2016-03-10,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,19.44
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-19,276.296
2016-03-20,51.84
2016-03-22,105.52
2016-03-23,226.07999999999998
2016-03-24,0.0
2016-03-26,114.384
2016-03-27,0.0
2016-03-28,54.184
2016-03-29,240.14999999999998
2016-03-30,23.52
2016-03-31,98.376
2016-04-02,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,55.92
2016-04-07,25.92
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,52.76
2016-04-13,85.92
2016-04-14,0.0
2016-04-16,0.0
2016-04-17,11.96
2016-04-18,77.512
2016-04-19,0.0
2016-04-20,130.416
2016-04-21,0.0
2016-04-22,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,7.968
2016-04-30,6.48
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,7.968
2016-05-04,0.0
2016-05-07,61.616
2016-05-08,57.379999999999995
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,166.42399999999998
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,14.088
2016-05-18,10.86
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,32.368
2016-05-26,172.0
2016-05-28,45.36
2016-05-29,32.4
2016-05-30,0.0
2016-06-01,54.0
2016-06-04,30.44
2016-06-05,10.56
2016-06-07,25.92
2016-06-08,0.0
2016-06-09,12.96
2016-06-11,32.4
2016-06-12,20.736
2016-06-13,38.879999999999995
