order_date,Furnishings
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,76.728
2015-01-09,0.0
2015-01-10,51.94
2015-01-11,9.94
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,127.104
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,345.57
2015-01-23,0.0
2015-01-26,75.24
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,14.56
2015-02-11,332.94
2015-02-12,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,25.16
2015-02-20,20.32
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,63.552
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-07,0.0
2015-03-10,0.0
2015-03-11,8.32
2015-03-14,0.0
2015-03-15,45.696
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,264.12
2015-03-19,25.008
2015-03-21,32.952
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,40.48
2015-03-25,0.0
2015-03-26,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,177.68
2015-04-04,5.47
2015-04-05,0.0
2015-04-06,125.07
2015-04-07,8.96
2015-04-08,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-15,187.76
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,76.14
2015-04-20,59.92
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,22.336
2015-04-25,303.25
2015-04-26,0.0
2015-04-28,0.0
2015-04-29,17.46
2015-04-30,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,39.64
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,66.112
2015-05-12,34.79
2015-05-13,0.0
2015-05-14,310.88
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,149.232
2015-05-19,0.0
2015-05-20,150.192
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,29.32
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,22.2
2015-06-02,73.32
2015-06-03,0.0
2015-06-04,70.92
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,86.25999999999999
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,6.24
2015-06-18,0.0
2015-06-20,0.0
2015-06-21,107.994
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,4.272
2015-06-25,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-04,0.0
2015-07-05,232.73600000000002
2015-07-06,0.0
2015-07-07,69.008
2015-07-08,0.0
2015-07-09,0.0
2015-07-11,124.11
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,31.984
2015-07-15,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,59.760000000000005
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-25,77.92
2015-07-26,177.21599999999998
2015-07-27,0.0
2015-07-28,129.888
2015-07-30,0.0
2015-08-01,44.128
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-09,0.0
2015-08-11,12.35
2015-08-12,85.44
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-19,289.24
2015-08-20,0.0
2015-08-22,0.0
2015-08-23,4.224
2015-08-24,13.28
2015-08-25,6.28
2015-08-26,10.68
2015-08-27,29.12
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,70.71
2015-09-03,0.0
2015-09-05,31.984
2015-09-06,41.88
2015-09-08,0.0
2015-09-09,78.144
2015-09-10,254.9
2015-09-11,127.95
2015-09-12,40.56
2015-09-13,14.19
2015-09-14,165.488
2015-09-15,118.49600000000001
2015-09-16,0.0
2015-09-17,35.34
2015-09-19,0.0
2015-09-20,164.22
