subcategory,date,model,forecast,lower_ci,upper_ci
sales,1229,prophet,2133.7183015401883,-1819.1739160578738,6168.897301233977
sales,1230,prophet,2030.8700522633,-2096.584482534063,6195.221701849401
sales,1231,prophet,2203.0387031406754,-1821.43783628416,6413.197986305097
sales,1232,prophet,1618.1543518129993,-2673.970591172962,5529.581100134283
sales,1233,prophet,1284.3890429845014,-2738.928141359645,5448.896585958476
sales,1234,prophet,1691.2064060837483,-2398.6920091352263,5734.802757554635
sales,1235,prophet,2020.2762544089144,-2054.0632803578665,6020.859622814272
sales,1236,prophet,1643.7840997847889,-2044.3075985663972,5918.290445536392
sales,1237,prophet,1551.2256372032634,-2660.5084576699223,5516.979295912661
sales,1238,prophet,1811.966555255593,-2340.5995737691737,5818.672393410161
sales,1239,prophet,1204.2405764120263,-2761.2028641812735,5192.730646635251
sales,1240,prophet,968.3024574502347,-3227.280081110526,4927.5022006199115
sales,1241,prophet,1429.438634683442,-2723.8307396132827,5460.584177421606
sales,1242,prophet,1814.4822178019695,-2030.3276350665292,6114.976254991444
sales,1243,prophet,1493.2755421395318,-2153.190501421877,5152.342288782527
sales,1244,prophet,1456.0436993316196,-2318.1788961383886,5280.600905023884
sales,1245,prophet,1771.1245450804956,-2059.812656177522,5756.464067400154
sales,1246,prophet,1213.2867301115537,-3022.5580387791483,5094.166102531758
sales,1247,prophet,1024.0856072708016,-2794.112476179123,5037.080701497549
sales,1248,prophet,1528.4400849987214,-2665.5049244861443,5755.910039087052
sales,1249,prophet,1950.8228966371707,-2182.258344429003,6130.949999923839
sales,1250,prophet,1684.9511166320094,-2030.4588325814398,5830.142338865328
sales,1251,prophet,1624.138326613284,-2521.0104913574396,5382.324890804023
sales,1252,prophet,2023.9772779957752,-2168.757843624797,6221.210319105466
sales,1253,prophet,1424.7240340093472,-2483.133508820002,5225.8325736967945
sales,1254,prophet,1234.8805596981613,-2463.320104089234,5098.3637648731265
sales,1255,prophet,1732.0739058623979,-2417.055662457158,5923.686836572867
sales,1256,prophet,2139.5615320582033,-2062.5261663585575,6001.878492123833
sales,1257,prophet,1824.4630155643804,-2013.205369443015,6080.610844089368
sales,1258,prophet,1780.782930735202,-2104.3749209738726,5746.585866734975
sales,1259,prophet,2077.4296501201984,-1922.569241563533,6019.996154624925
