subcategory,date,model,forecast,lower_ci,upper_ci
subcategory_0,2018-12-31,xgboost,25.949339,,
subcategory_0,2019-01-01,xgboost,22.952394,,
subcategory_0,2019-01-02,xgboost,13.254573,,
subcategory_0,2019-01-03,xgboost,13.583365,,
subcategory_0,2019-01-04,xgboost,17.864187,,
subcategory_0,2019-01-05,xgboost,13.432504,,
subcategory_0,2019-01-06,xgboost,16.64522,,
subcategory_0,2019-01-07,xgboost,21.824232,,
subcategory_0,2019-01-08,xgboost,16.065134,,
subcategory_0,2019-01-09,xgboost,16.974012,,
subcategory_0,2019-01-10,xgboost,21.254835,,
subcategory_0,2019-01-11,xgboost,16.64522,,
subcategory_0,2019-01-12,xgboost,16.64522,,
subcategory_0,2019-01-13,xgboost,13.432504,,
subcategory_0,2019-01-14,xgboost,21.652163,,
subcategory_0,2019-01-15,xgboost,16.065134,,
subcategory_0,2019-01-16,xgboost,16.64522,,
subcategory_0,2019-01-17,xgboost,16.64522,,
subcategory_0,2019-01-18,xgboost,16.64522,,
subcategory_0,2019-01-19,xgboost,16.64522,,
subcategory_0,2019-01-20,xgboost,16.64522,,
subcategory_0,2019-01-21,xgboost,26.261778,,
subcategory_0,2019-01-22,xgboost,19.27785,,
subcategory_0,2019-01-23,xgboost,16.64522,,
subcategory_0,2019-01-24,xgboost,16.817286,,
subcategory_0,2019-01-25,xgboost,16.64522,,
subcategory_0,2019-01-26,xgboost,16.64522,,
subcategory_0,2019-01-27,xgboost,16.64522,,
subcategory_0,2019-01-28,xgboost,21.652163,,
subcategory_0,2019-01-29,xgboost,19.27785,,
subcategory_1,2018-12-31,xgboost,30.67814,,
subcategory_1,2019-01-01,xgboost,41.13029,,
subcategory_1,2019-01-02,xgboost,40.93695,,
subcategory_1,2019-01-03,xgboost,35.892742,,
subcategory_1,2019-01-04,xgboost,46.882603,,
subcategory_1,2019-01-05,xgboost,40.503517,,
subcategory_1,2019-01-06,xgboost,36.930573,,
subcategory_1,2019-01-07,xgboost,36.154808,,
subcategory_1,2019-01-08,xgboost,31.987831,,
subcategory_1,2019-01-09,xgboost,29.131548,,
subcategory_1,2019-01-10,xgboost,23.558428,,
subcategory_1,2019-01-11,xgboost,21.963634,,
subcategory_1,2019-01-12,xgboost,19.638096,,
subcategory_1,2019-01-13,xgboost,19.074669,,
subcategory_1,2019-01-14,xgboost,24.092558,,
subcategory_1,2019-01-15,xgboost,16.81494,,
subcategory_1,2019-01-16,xgboost,13.94711,,
subcategory_1,2019-01-17,xgboost,12.954091,,
subcategory_1,2019-01-18,xgboost,10.753351,,
subcategory_1,2019-01-19,xgboost,9.149355,,
subcategory_1,2019-01-20,xgboost,8.573677,,
subcategory_1,2019-01-21,xgboost,11.683571,,
subcategory_1,2019-01-22,xgboost,9.184355,,
subcategory_1,2019-01-23,xgboost,10.002022,,
subcategory_1,2019-01-24,xgboost,7.916798,,
subcategory_1,2019-01-25,xgboost,7.083355,,
subcategory_1,2019-01-26,xgboost,7.377397,,
subcategory_1,2019-01-27,xgboost,7.0400825,,
subcategory_1,2019-01-28,xgboost,8.566912,,
subcategory_1,2019-01-29,xgboost,6.8982983,,
subcategory_10,2018-12-31,xgboost,15.381751,,
subcategory_10,2019-01-01,xgboost,11.050562,,
subcategory_10,2019-01-02,xgboost,9.932772,,
subcategory_10,2019-01-03,xgboost,11.919749,,
subcategory_10,2019-01-04,xgboost,8.583085,,
subcategory_10,2019-01-05,xgboost,6.572896,,
subcategory_10,2019-01-06,xgboost,7.709147,,
subcategory_10,2019-01-07,xgboost,6.8490644,,
subcategory_10,2019-01-08,xgboost,5.2865357,,
subcategory_10,2019-01-09,xgboost,4.451602,,
subcategory_10,2019-01-10,xgboost,4.377504,,
subcategory_10,2019-01-11,xgboost,4.0726905,,
subcategory_10,2019-01-12,xgboost,4.0845666,,
subcategory_10,2019-01-13,xgboost,4.8648467,,
subcategory_10,2019-01-14,xgboost,3.2857728,,
subcategory_10,2019-01-15,xgboost,3.3033762,,
subcategory_10,2019-01-16,xgboost,2.5586145,,
subcategory_10,2019-01-17,xgboost,2.393994,,
subcategory_10,2019-01-18,xgboost,2.5119634,,
subcategory_10,2019-01-19,xgboost,3.136154,,
subcategory_10,2019-01-20,xgboost,3.43983,,
subcategory_10,2019-01-21,xgboost,2.5337367,,
subcategory_10,2019-01-22,xgboost,3.2902284,,
subcategory_10,2019-01-23,xgboost,2.437379,,
subcategory_10,2019-01-24,xgboost,2.6784794,,
subcategory_10,2019-01-25,xgboost,2.743068,,
subcategory_10,2019-01-26,xgboost,3.600809,,
subcategory_10,2019-01-27,xgboost,3.8750482,,
subcategory_10,2019-01-28,xgboost,3.3895364,,
subcategory_10,2019-01-29,xgboost,3.3955388,,
subcategory_11,2018-12-31,xgboost,53.14891,,
subcategory_11,2019-01-01,xgboost,17.66659,,
subcategory_11,2019-01-02,xgboost,7.1231065,,
subcategory_11,2019-01-03,xgboost,7.1231065,,
subcategory_11,2019-01-04,xgboost,7.1231065,,
subcategory_11,2019-01-05,xgboost,7.1231065,,
subcategory_11,2019-01-06,xgboost,8.104025,,
subcategory_11,2019-01-07,xgboost,8.104025,,
subcategory_11,2019-01-08,xgboost,4.101688,,
subcategory_11,2019-01-09,xgboost,4.101688,,
subcategory_11,2019-01-10,xgboost,4.101688,,
subcategory_11,2019-01-11,xgboost,4.101688,,
subcategory_11,2019-01-12,xgboost,4.101688,,
subcategory_11,2019-01-13,xgboost,4.101688,,
subcategory_11,2019-01-14,xgboost,4.101688,,
subcategory_11,2019-01-15,xgboost,3.4576383,,
subcategory_11,2019-01-16,xgboost,3.4576383,,
subcategory_11,2019-01-17,xgboost,3.4576383,,
subcategory_11,2019-01-18,xgboost,3.4576383,,
subcategory_11,2019-01-19,xgboost,3.4576383,,
subcategory_11,2019-01-20,xgboost,3.4576383,,
subcategory_11,2019-01-21,xgboost,2.4223819,,
subcategory_11,2019-01-22,xgboost,2.4223819,,
subcategory_11,2019-01-23,xgboost,2.4223819,,
subcategory_11,2019-01-24,xgboost,2.4223819,,
subcategory_11,2019-01-25,xgboost,2.4223819,,
subcategory_11,2019-01-26,xgboost,2.4223819,,
subcategory_11,2019-01-27,xgboost,2.4223819,,
subcategory_11,2019-01-28,xgboost,2.4223819,,
subcategory_11,2019-01-29,xgboost,2.4223819,,
subcategory_12,2018-12-31,xgboost,55.058716,,
subcategory_12,2019-01-01,xgboost,43.66827,,
subcategory_12,2019-01-02,xgboost,45.086334,,
subcategory_12,2019-01-03,xgboost,45.704124,,
subcategory_12,2019-01-04,xgboost,49.30116,,
subcategory_12,2019-01-05,xgboost,50.26887,,
subcategory_12,2019-01-06,xgboost,44.528873,,
subcategory_12,2019-01-07,xgboost,45.53527,,
subcategory_12,2019-01-08,xgboost,44.915367,,
subcategory_12,2019-01-09,xgboost,45.20607,,
subcategory_12,2019-01-10,xgboost,45.721436,,
subcategory_12,2019-01-11,xgboost,45.18156,,
subcategory_12,2019-01-12,xgboost,47.07237,,
subcategory_12,2019-01-13,xgboost,46.46553,,
subcategory_12,2019-01-14,xgboost,46.112247,,
subcategory_12,2019-01-15,xgboost,45.20607,,
subcategory_12,2019-01-16,xgboost,46.112247,,
subcategory_12,2019-01-17,xgboost,46.112247,,
subcategory_12,2019-01-18,xgboost,46.68311,,
subcategory_12,2019-01-19,xgboost,45.26865,,
subcategory_12,2019-01-20,xgboost,46.16619,,
subcategory_12,2019-01-21,xgboost,45.31095,,
subcategory_12,2019-01-22,xgboost,46.421688,,
subcategory_12,2019-01-23,xgboost,45.31095,,
subcategory_12,2019-01-24,xgboost,46.8125,,
subcategory_12,2019-01-25,xgboost,46.38571,,
subcategory_12,2019-01-26,xgboost,46.866444,,
subcategory_12,2019-01-27,xgboost,46.259605,,
subcategory_12,2019-01-28,xgboost,45.31095,,
subcategory_12,2019-01-29,xgboost,45.906322,,
subcategory_13,2018-12-31,xgboost,129.36046,,
subcategory_13,2019-01-01,xgboost,187.30426,,
subcategory_13,2019-01-02,xgboost,175.208,,
subcategory_13,2019-01-03,xgboost,150.18419,,
subcategory_13,2019-01-04,xgboost,189.85388,,
subcategory_13,2019-01-05,xgboost,84.82819,,
subcategory_13,2019-01-06,xgboost,188.1249,,
subcategory_13,2019-01-07,xgboost,135.47476,,
subcategory_13,2019-01-08,xgboost,140.73613,,
subcategory_13,2019-01-09,xgboost,200.8863,,
subcategory_13,2019-01-10,xgboost,114.3606,,
subcategory_13,2019-01-11,xgboost,233.3842,,
subcategory_13,2019-01-12,xgboost,114.27488,,
subcategory_13,2019-01-13,xgboost,230.22195,,
subcategory_13,2019-01-14,xgboost,122.91952,,
subcategory_13,2019-01-15,xgboost,225.4508,,
subcategory_13,2019-01-16,xgboost,89.92748,,
subcategory_13,2019-01-17,xgboost,223.47794,,
subcategory_13,2019-01-18,xgboost,89.699715,,
subcategory_13,2019-01-19,xgboost,225.9221,,
subcategory_13,2019-01-20,xgboost,102.573425,,
subcategory_13,2019-01-21,xgboost,288.341,,
subcategory_13,2019-01-22,xgboost,103.61906,,
subcategory_13,2019-01-23,xgboost,219.87584,,
subcategory_13,2019-01-24,xgboost,89.91248,,
subcategory_13,2019-01-25,xgboost,225.35219,,
subcategory_13,2019-01-26,xgboost,98.36851,,
subcategory_13,2019-01-27,xgboost,225.66464,,
subcategory_13,2019-01-28,xgboost,107.657974,,
